Роль;Уровень доступа;Основные функции
USER (Пассажир);Базовый;Поиск маршрутов, бронирование билетов, онлайн-оплата, управление избранными маршрутами, просмотр электронных билетов, хранение истории поездок
ADMIN (Администратор);Полный;Все функции пассажира, управление маршрутами, управление рейсами, управление учётными записями пользователей, просмотр статистики
DRIVER (Водитель);Операционный;Просмотр назначенных рейсов, просмотр информации о пассажирах, обмен сообщениями с оператором, уведомление о задержках
OPERATOR (Оператор);Операционный;Мониторинг рейсов, создание и корректировка задержек, изменение времени отправления и прибытия, управление расписанием, создание новых рейсов
