Параметр;Тип;Описание;Значение / Формат
DEBUG;Уровень логирования;Детальная отладочная информация;[timestamp] DEBUG [module] message
INFO;Уровень логирования;Информация о штатной работе;[timestamp] INFO [module] method URL status_code duration_ms
WARN;Уровень логирования;Предупреждения о потенциальных проблемах;[timestamp] WARN [module] method URL status_code duration_ms
ERROR;Уровень логирования;Ошибки, требующие внимания;[timestamp] ERROR [module] method URL status_code duration_ms error_message
Доступность API;Метрика;Процент успешных ответов сервера (статус-коды 2xx и 3xx);Ниже 99% за 5 минут
Время отклика;Метрика;Среднее время обработки запроса (duration_ms);Выше 500 мс за 5 минут
Количество ошибок;Метрика;Количество ответов со статус-кодом 5xx;Выше 5 за 5 минут
Количество подключений к БД;Метрика;Текущее число подключений к PostgreSQL;Выше 80 из 100
